year,population_by_age_group,number_of_population
2007,Below 21,55
2007,21-30,138
2007,31-40,177
2007,41-50,122
2007,51-60,29
2007,60 Above,3
2008,Below 21,78
2008,21-30,255
2008,31-40,238
2008,41-50,182
2008,51-60,49
2008,60 Above,5
2009,Below 21,79
2009,21-30,228
2009,31-40,240
2009,41-50,173
2009,51-60,81
2009,60 Above,11
2010,Below 21,86
2010,21-30,267
2010,31-40,249
2010,41-50,208
2010,51-60,104
2010,60 Above,19
2011,Below 21,81
2011,21-30,292
2011,31-40,348
2011,41-50,314
2011,51-60,191
2011,60 Above,21
2012,Below 21,59
2012,21-30,260
2012,31-40,310
2012,41-50,292
2012,51-60,156
2012,60 Above,23
2013,Below 21,68
2013,21-30,344
2013,31-40,320
2013,41-50,308
2013,51-60,172
2013,60 Above,24
2014,Below 21,62
2014,21-30,355
2014,31-40,333
2014,41-50,360
2014,51-60,157
2014,60 Above,39
2015,Below 21,65
2015,21-30,371
2015,31-40,320
2015,41-50,307
2015,51-60,157
2015,60 Above,35
2016,Below 21,49
2016,21-30,349
2016,31-40,318
2016,41-50,250
2016,51-60,140
2016,60 Above,38
2017,Below 21,45
2017,21-30,395
2017,31-40,374
2017,41-50,293
2017,51-60,191
2017,60 Above,45
2018,Below 21,57
2018,21-30,387
2018,31-40,351
2018,41-50,297
2018,51-60,231
2018,60 Above,68
2019,Below 21,43
2019,21-30,309
2019,31-40,328
2019,41-50,236
2019,51-60,174
2019,60 Above,45
2020,Below 21,50
2020,21-30,334
2020,31-40,322
2020,41-50,235
2020,51-60,168
2020,60 Above,73
2021,Below 21,34
2021,21-30,317
2021,31-40,289
2021,41-50,224
2021,51-60,171
2021,60 Above,74
2022,Below 21,49
2022,21-30,292
2022,31-40,299
2022,41-50,201
2022,51-60,163
2022,60 Above,77
